TRANSACTION_DT,Count(Distinct(CUSTOMER_NBR)),SALES
2016-01-01,24918,2297543.85
2016-01-02,50115,4582624.36
2016-01-03,27130,2463765.57
2016-01-04,31576,2636620.42
2016-01-05,40539,3228696.73
2016-01-06,28678,2434248.58
2016-01-07,24478,2192732.09
2016-01-08,33696,3000739.91
2016-01-09,38325,3595195.21
2016-01-10,19359,1835943.55
2016-01-11,33241,2714753.3
2016-01-12,23981,2108578.81
2016-01-13,21383,1831378.81
2016-01-14,24095,2082935.23
2016-01-15,33777,2955869.16
2016-01-16,41692,3849824.74
2016-01-17,22200,2067215.28
2016-01-18,44830,3808351.49
2016-01-19,33938,2878237.25
2016-01-20,19993,1691364.53
2016-01-21,21172,1743278.6
2016-01-22,27096,2142637.53
2016-01-23,28768,2491959.75
2016-01-24,16408,1405453.18
2016-01-25,30891,2351941.59
2016-01-26,18151,1509971.89
2016-01-27,20994,1737914.73
2016-01-28,23789,1979132.8
2016-01-29,39278,3580908.71
2016-01-30,49766,4651384.85
2016-01-31,28449,2513601.73
2016-02-01,38737,3064985.78
2016-02-02,24949,2123767.79
2016-02-03,25292,2245687.89
2016-02-04,30849,2879168.78
2016-02-05,36952,3305519.02
2016-02-06,49867,4757340.74
2016-02-07,30167,2829906.42
2016-02-08,25726,2163156.75
2016-02-09,46043,3974657.24
2016-02-10,34497,3426971.99
2016-02-11,36460,3473495.6
2016-02-12,44805,4003440.4
2016-02-13,53443,4953589.72
2016-02-14,27984,2555974.09
2016-02-15,40555,3640972.14
2016-02-16,27322,2499258.81
2016-02-17,22225,2164138.29
2016-02-18,24759,2460864.93
2016-02-19,34655,3300713.62
2016-02-20,46915,4722985.92
2016-02-21,27272,2708061.55
2016-02-22,32031,2863406.97
2016-02-23,23005,2194545.47
2016-02-24,26339,2598532.04
2016-02-25,29253,2880812.75
2016-02-26,34742,3443678.7
2016-02-27,48723,5053124.06
2016-02-28,30782,3099352.18
2016-02-29,40864,3695982.45
2016-03-01,36354,3426879.26
2016-03-02,27464,2762257.7
2016-03-03,26178,2702154.34
2016-03-04,34646,3499172.18
2016-03-05,44902,4559945.33
2016-03-06,28387,2824498.27
2016-03-07,34379,3253441.51
2016-03-08,25164,2446203.56
2016-03-09,24418,2473896.4
2016-03-10,27568,2720165.33
2016-03-11,39498,3856090.88
2016-03-12,50763,5179811.17
2016-03-13,26853,2718788.62
2016-03-14,34104,3164681.17
2016-03-15,26831,2612471.34
2016-03-16,36937,3507544.31
2016-03-17,32758,3091002.61
2016-03-18,42506,4256637.07
2016-03-19,50042,5085137.2
2016-03-20,30162,3009717.27
2016-03-21,36402,3297150.14
2016-03-22,34523,3205543.4
2016-03-23,37193,3502598.59
2016-03-24,36167,3529609.95
2016-03-25,53794,5322011.16
2016-03-26,61520,6302864.61
2016-03-27,4487,406667.99
2016-03-28,47933,4526344.27
2016-03-29,40722,3859494.4
2016-03-30,28540,2867428.24
2016-03-31,31992,3078626.71
2016-04-01,44990,4177315.93
2016-04-02,47326,4860303.07
2016-04-03,28836,2860824.58
2016-04-04,36182,3356107.79
2016-04-05,23806,2338541.29
2016-04-06,25143,2482792.8
2016-04-07,27039,2653038.18
2016-04-08,36443,3477971.78
2016-04-09,42850,4236428.74
2016-04-10,29511,2720181.46
2016-04-11,33863,3049307.91
2016-04-12,26798,2536916.1
2016-04-13,27945,2668868.25
2016-04-14,28030,2606978.74
2016-04-15,41284,3896428.14
2016-04-16,47648,4888165.4
2016-04-17,29658,2978219.1
2016-04-18,35836,3256444.73
2016-04-19,27782,2706415.49
2016-04-20,31141,3030448.4
2016-04-21,39441,3708979.47
2016-04-22,40768,3866578.23
2016-04-23,47827,4801247.62
2016-04-24,30785,3103631.66
2016-04-25,35970,3213814.47
2016-04-26,33485,3331354.88
2016-04-27,25092,2547819.04
2016-04-28,28456,2918291.42
2016-04-29,38022,3844511.71
2016-04-30,47121,4940456.33
2016-05-01,26089,2797676.35
2016-05-02,38712,3601390.29
2016-05-03,28276,2786507.75
2016-05-04,29935,2972838.34
2016-05-05,33033,3233810.82
2016-05-06,43957,4252937.83
2016-05-07,55860,5718889.18
2016-05-08,26780,2804974.12
2016-05-09,42144,3903384.03
2016-05-10,25735,2658820.05
2016-05-11,27627,2842572.83
2016-05-12,35044,3559057.23
2016-05-13,37731,3818797.57
2016-05-14,43463,4739962.57
2016-05-15,25302,2683925.82
2016-05-16,37223,3443209.93
2016-05-17,24824,2508538.41
2016-05-18,29990,3034924.17
